,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
66,4 feb 2025,39.25,39.65,39.03,39.26,35.36,300.7,3.7896807253382088
233,4 jun 2024,35.4,35.52,34.54,34.87,29.03,243.8,3.8118014114064165
47,4 mar 2025,40.49,41.29,39.13,40.7,36.65,512.4,3.6648437893039487
127,4 nov 2024,31.7,32.0,31.61,31.76,27.89,100.8,4.043998021760143
148,4 oct 2024,31.13,31.64,30.99,31.37,27.54,399.6,4.259597398815993
170,4 sept 2024,32.75,32.84,32.47,32.7,27.99,492.7,3.8366456703740774
191,5 ago 2024,30.32,31.24,30.25,31.07,26.6,213.1,4.060400226578689
105,5 dic 2024,32.8,33.12,32.37,32.96,28.94,254.5,0.8256936477898348
65,5 feb 2025,39.25,39.48,38.88,39.14,35.25,400.4,3.2851742723941264
212,5 jul 2024,33.08,33.37,32.91,33.09,28.32,306.5,3.097897674230094
232,5 jun 2024,35.01,35.31,34.68,35.27,29.37,258.9,3.0845955974811607
46,5 mar 2025,41.3,42.7,41.16,41.98,37.81,342.4,3.9582786662891567
4,5 may 2025,41.0,41.35,40.12,40.47,40.47,489.1,3.7013983843946976
126,5 nov 2024,31.87,32.37,31.87,32.22,28.29,142.5,4.393020600907747
169,5 sept 2024,32.9,33.0,32.52,32.88,28.14,284.0,4.43583475796832
190,6 ago 2024,31.01,31.5,30.85,31.21,26.72,226.6,5.059661055841582
104,6 dic 2024,33.08,33.14,32.58,32.72,28.73,173.8,3.7301541523106225
85,6 ene 2025,32.16,32.74,32.14,32.35,29.13,203.8,0.6532457424280592
64,6 feb 2025,39.21,40.05,39.04,39.96,35.99,332.7,3.4916371518243703
231,6 jun 2024,35.11,35.51,35.06,35.32,29.41,284.5,3.4972231841848673
45,6 mar 2025,41.5,42.56,41.49,41.58,37.45,263.8,4.201675856131679
3,6 may 2025,40.07,41.59,40.07,41.19,41.19,427.9,4.059156316280472
125,6 nov 2024,32.25,32.41,31.64,32.26,28.33,133.0,4.090992544603285
168,6 sept 2024,32.99,33.0,32.14,32.18,27.55,208.4,4.632351454714967
23,7 abr 2025,38.81,40.49,37.37,37.59,37.08,,4.598168113499093
189,7 ago 2024,31.81,31.81,30.57,30.73,26.3,182.9,4.429915349078368
84,7 ene 2025,32.38,32.88,32.38,32.57,29.33,259.3,2.626981157146043
63,7 feb 2025,39.86,40.0,39.24,39.38,35.46,229.6,3.7643790988687855
230,7 jun 2024,35.31,36.07,35.16,35.85,29.85,482.6,3.5532351456102735
44,7 mar 2025,41.5,42.22,41.38,41.64,37.5,239.6,4.549409851837921
2,7 may 2025,41.38,41.42,40.57,40.72,40.72,322.6,3.7634651586004644
124,7 nov 2024,32.65,33.09,32.3,32.79,28.79,196.7,3.684091475520067
147,7 oct 2024,31.37,31.46,31.0,31.08,27.29,216.2,4.683901151817775
22,8 abr 2025,38.84,39.07,35.65,36.11,35.62,,4.677485435573249
188,8 ago 2024,31.01,31.7,31.01,31.57,27.02,473.2,4.014826272704732
83,8 ene 2025,32.52,32.73,32.32,32.4,29.18,212.8,1.974018743578798
211,8 jul 2024,33.21,33.68,33.0,33.41,28.6,205.4,1.9933965987731588
1,8 may 2025,40.73,41.76,40.73,41.18,41.18,304.0,3.8876638229147455
123,8 nov 2024,32.6,32.83,32.04,32.22,28.29,275.3,3.98158636726622
146,8 oct 2024,30.84,31.27,30.65,31.19,27.39,421.6,4.046387277560099
21,9 abr 2025,35.77,39.19,35.44,38.98,38.45,890.4,4.416483895589342
187,9 ago 2024,31.41,32.05,31.41,31.57,27.02,379.9,4.6914358143323325
103,9 dic 2024,33.16,33.25,32.65,32.69,28.7,196.3,3.2109733726707193
210,9 jul 2024,33.34,33.72,33.34,33.59,28.75,233.6,3.1504571096906435
0,9 may 2025,41.2,41.74,40.91,41.16,41.16,334.6,4.2156577185535316
145,9 oct 2024,30.98,31.78,30.84,31.57,27.72,324.8,4.027788475081609
167,9 sept 2024,32.21,32.37,31.37,31.42,26.9,358.3,4.051978529064566
