fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,prediccion
24 sept 2024,32.74,32.96,32.56,32.95,28.2,262.0,4.591255819489918,35.57670290505166
25 abr 2025,41.5,42.33,41.41,42.33,41.76,311.3,5.2916301836012565,36.06031470020878
25 feb 2025,43.44,43.55,42.98,43.4,39.08,307.1,5.340779905594301,36.094252814598065
25 jul 2024,32.9,33.14,32.7,32.79,28.07,141.3,5.669953262593963,36.321548567061086
25 jun 2024,33.3,33.66,32.7,32.75,27.27,611.3,5.509907440238893,36.21103617337184
25 mar 2025,43.49,44.16,43.4,43.88,39.52,421.2,5.742068442643271,36.37134443833913
25 nov 2024,33.01,33.63,32.84,33.33,29.27,507.8,5.85844262581788,36.45170135960712
25 oct 2024,31.94,32.1,31.31,31.31,27.49,250.1,5.1241896920391365,35.944696252624546
25 sept 2024,33.0,33.0,32.54,32.72,28.01,263.7,5.131186022743684,35.94952725190853
26 ago 2024,33.07,33.42,33.07,33.41,28.6,137.5,5.073494850692187,35.90969122604835
26 dic 2024,32.35,32.77,32.32,32.48,28.52,106.3,0.8469651704765668,32.991252587124976
26 feb 2025,43.4,43.98,43.07,43.25,38.95,432.8,4.8755953482626255,35.773040688086276
26 jul 2024,32.97,33.01,32.79,32.94,28.2,122.5,4.646907573860289,35.61513070340326
26 jun 2024,32.84,33.04,32.56,32.87,27.37,328.8,4.6292818017485295,35.60296002479367
26 mar 2025,43.82,44.93,43.77,44.29,39.89,442.9,6.042344743557739,36.578686637553744
26 nov 2024,33.11,33.12,32.53,32.58,28.61,178.5,6.023091398941231,36.56539211246846
26 sept 2024,33.13,33.23,32.67,33.02,28.26,267.3,5.117699678566542,35.940214867772525
27 ago 2024,33.4,33.46,32.99,33.21,28.43,87.9,5.09003241639973,35.92111049301353
27 dic 2024,32.27,32.41,31.94,32.05,28.14,170.5,5.195743450171505,35.99410445942626
27 ene 2025,35.5,37.17,34.92,36.88,33.21,,1.9154816626635407,33.72906825460332
27 feb 2025,43.19,43.3,41.4,41.74,37.59,550.1,4.0020932023130165,35.16988334463855
27 jun 2024,32.05,32.39,31.72,32.18,27.55,293.7,4.141143561867914,35.26589827243636
27 mar 2025,44.02,44.66,43.62,43.76,39.41,443.6,5.371128373070206,36.11520857424371
27 nov 2024,32.55,33.09,32.42,32.91,28.9,166.0,5.170104447687666,35.976400607525605
27 sept 2024,32.33,32.54,31.96,31.97,28.07,270.9,5.749693035284571,36.37660925544773
28 abr 2025,41.78,41.95,40.0,40.67,40.67,719.8,5.5218629102867025,36.219291481715544
28 ago 2024,33.05,33.25,33.01,33.12,28.35,117.6,5.360245330206437,36.10769378191861
28 ene 2025,37.77,39.73,37.5,38.67,34.82,,3.9244770352239375,35.11628901591581
28 feb 2025,41.76,42.25,41.22,41.72,37.57,451.9,4.433593350770887,35.4678362282668
28 jun 2024,32.35,32.69,32.16,32.65,27.95,348.9,4.238021944256519,35.33279325149277
28 mar 2025,43.7,44.11,43.25,43.79,39.44,562.2,5.0061911669451575,35.86321771561528
28 may 2024,35.64,36.21,35.59,35.86,29.86,186.9,4.459996636769992,35.486067821532316
28 oct 2024,31.38,31.87,31.32,31.6,27.75,147.5,5.424198558312539,36.151853786960665
29 abr 2025,40.61,40.94,40.3,40.83,40.83,357.1,5.247392685896477,36.029768499812924
29 ago 2024,32.5,32.72,32.22,32.56,27.87,158.6,5.265934864769961,36.04257196160511
29 ene 2025,38.78,40.43,38.63,40.3,36.29,630.4,4.265196361247619,35.35155731433805
29 jul 2024,33.06,33.49,32.26,32.45,27.78,231.7,4.598735695819017,35.581867794865495
29 may 2024,35.51,35.51,34.69,35.03,29.17,346.0,4.090297055227153,35.23078852026088
29 nov 2024,32.78,33.03,32.58,32.7,28.71,94.7,3.356660542861038,34.72420905516529
29 oct 2024,31.46,31.66,31.02,31.17,27.37,204.1,3.6162065759577677,34.90342681272997
3 abr 2025,40.84,42.53,40.82,42.23,41.66,684.4,4.425266093694271,35.46208621805809
3 dic 2024,32.86,33.05,32.59,32.63,28.65,197.6,4.402899044947561,35.44664166561436
3 ene 2025,32.36,32.6,31.8,31.99,28.81,250.4,4.561938184587801,35.556458940150456
3 feb 2025,38.84,39.25,38.31,38.97,35.1,401.4,4.913951566712887,35.79952583747307
3 jul 2024,33.45,33.56,33.01,33.04,28.28,91.8,4.570899255070055,35.56264660149918
3 jun 2024,36.23,36.61,35.81,35.83,29.83,262.9,2.901640915068612,34.41001586034779
3 mar 2025,42.01,42.68,40.59,40.84,36.78,439.0,3.775821764861254,35.01364185199386
3 oct 2024,31.1,31.37,30.92,30.96,27.18,262.2,4.074698761871849,35.22001782527618
3 sept 2024,32.79,33.1,32.34,32.89,28.15,231.3,3.840412738235327,35.05824222314539
30 abr 2025,40.33,40.53,39.89,40.32,40.32,478.8,4.388891659633438,35.43696950012067
30 ago 2024,32.48,33.19,32.3,33.09,28.32,333.3,4.607271426777461,35.58776175727091
30 dic 2024,31.29,31.7,31.19,31.67,28.52,194.7,3.756465093675204,35.00027597942594
30 ene 2025,40.21,40.62,39.39,39.84,35.88,622.8,4.163468505945496,35.281313751407865
30 jul 2024,32.67,32.74,32.35,32.59,27.9,114.1,4.213462946318624,35.315835147814774
30 may 2024,35.17,35.8,34.86,35.57,29.62,189.5,3.2898358621670085,34.678066298595034
30 oct 2024,31.49,32.82,31.05,32.38,28.43,454.6,3.382728188903176,34.742208887460635
30 sept 2024,31.74,32.03,31.38,31.38,27.55,285.1,3.443395126906027,34.78409969371747
31 dic 2024,31.59,31.85,31.25,31.51,28.38,129.8,1.6962399594398072,33.57768082653281
31 ene 2025,39.89,40.17,39.43,39.55,35.62,371.6,3.4973518553328558,34.82135706867638
31 jul 2024,32.91,33.58,32.7,33.32,28.52,178.1,3.400804316628675,34.754690538741386
31 mar 2025,39.23,40.42,39.04,40.2,39.65,462.5,4.349283849095161,35.40962012050572
31 may 2024,35.53,35.6,35.11,35.46,29.52,283.0,3.803823076853062,35.032976889729426
31 oct 2024,32.3,32.45,31.91,31.91,28.02,235.4,3.688017082389924,34.95301230544123
4 abr 2025,41.12,41.12,39.28,40.04,39.5,947.3,3.807581909821492,35.03557238158736
4 dic 2024,32.65,32.8,32.24,32.3,28.36,264.8,4.020873039527599,35.18285091063395
4 feb 2025,39.25,39.65,39.03,39.26,35.36,300.7,3.7896807253382088,35.02321152943883
4 jun 2024,35.4,35.52,34.54,34.87,29.03,243.8,3.8118014114064165,35.038485967293404
4 mar 2025,40.49,41.29,39.13,40.7,36.65,512.4,3.6648437893039487,34.93701103748615
4 nov 2024,31.7,32.0,31.61,31.76,27.89,100.8,4.043998021760143,35.19881881971733
4 oct 2024,31.13,31.64,30.99,31.37,27.54,399.6,4.259597398815993,35.34769120442409
4 sept 2024,32.75,32.84,32.47,32.7,27.99,492.7,3.8366456703740774,35.055641045055204
5 ago 2024,30.32,31.24,30.25,31.07,26.6,213.1,4.060400226578689,35.210144619351496
5 dic 2024,32.8,33.12,32.37,32.96,28.94,254.5,0.8256936477898348,32.97656450058242
5 feb 2025,39.25,39.48,38.88,39.14,35.25,400.4,3.2851742723941264,34.67484744891425
5 jul 2024,33.08,33.37,32.91,33.09,28.32,306.5,3.097897674230094,34.54553207635068
5 jun 2024,35.01,35.31,34.68,35.27,29.37,258.9,3.0845955974811607,34.53634692974123
5 mar 2025,41.3,42.7,41.16,41.98,37.81,342.4,3.9582786662891567,35.13962920127429
5 may 2025,41.0,41.35,40.12,40.47,40.47,489.1,3.7013983843946976,34.962252157462764
5 nov 2024,31.87,32.37,31.87,32.22,28.29,142.5,4.393020600907747,35.43982055350596
5 sept 2024,32.9,33.0,32.52,32.88,28.14,284.0,4.43583475796832,35.469383930487176
6 ago 2024,31.01,31.5,30.85,31.21,26.72,226.6,5.059661055841582,35.90013892558684
6 dic 2024,33.08,33.14,32.58,32.72,28.73,173.8,3.7301541523106225,34.98210815056524
6 ene 2025,32.16,32.74,32.14,32.35,29.13,203.8,0.6532457424280592,32.85748841019908
6 feb 2025,39.21,40.05,39.04,39.96,35.99,332.7,3.4916371518243703,34.81741103900404
